Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",1784633157,142722468,1,1,1,1024,1,1,37,304,6352,142.722468,147,319,,,,,
"test(int, int, int)",1784633381,154098937,1,1,1,1024,1,1,37,304,6352,154.098937,148,303,,,,,
"test(int, int, int)",1784633605,142537131,1,1,1,1024,1,1,37,304,6352,142.537131,149,333,,,,,
"test(int, int, int)",1784633797,142651911,1,1,1,1024,1,1,37,304,6352,142.651911,150,335,,,,,
"test(int, int, int)",1784634053,136240517,1,1,1,1024,1,1,37,304,6352,136.240517,151,351,,,,,
"test(int, int, int)",1784634149,155971352,1,1,1,1024,1,1,37,304,6352,155.971352,152,348,,,,,
"test(int, int, int)",1784634277,142278036,1,1,1,1024,1,1,37,304,6352,142.278036,153,346,,,,,
"test(int, int, int)",1784634405,141195385,1,1,1,1024,1,1,37,304,6352,141.195385,154,341,,,,,
"test(int, int, int)",1784634501,143510569,1,1,1,1024,1,1,37,304,6352,143.510569,155,358,,,,,
"test(int, int, int)",1947879776,129385139,1,1,1,1024,1,1,37,304,6352,129.385139,156,347,,,,,
"test(int, int, int)",1947879776,146437475,1,1,1,1024,1,1,37,304,6352,146.437475,157,343,,,,,
"test(int, int, int)",1947879968,139920805,1,1,1,1024,1,1,37,304,6352,139.920805,158,344,,,,,
"test(int, int, int)",1947880544,149186852,1,1,1,1024,1,1,37,304,6352,149.186852,159,320,,,,,
"test(int, int, int)",1947880544,129311318,1,1,1,1024,1,1,37,304,6352,129.311318,160,342,,,,,
"test(int, int, int)",1947880704,150758253,1,1,1,1024,1,1,37,304,6352,150.758253,161,345,,,,,
"test(int, int, int)",1947880800,134266410,1,1,1,1024,1,1,37,304,6352,134.26641,162,339,,,,,
"test(int, int, int)",1947880960,132799357,1,1,1,1024,1,1,37,304,6352,132.799357,163,270,,,,,
"test(int, int, int)",1947881056,155202515,1,1,1,1024,1,1,37,304,6352,155.202515,164,287,,,,,
"test(int, int, int)",1947881184,125707859,1,1,1,1024,1,1,37,304,6352,125.707859,165,259,,,,,
"test(int, int, int)",1947881312,142804385,1,1,1,1024,1,1,37,304,6352,142.804385,166,267,,,,,
"test(int, int, int)",1947881440,149480089,1,1,1,1024,1,1,37,304,6352,149.480089,167,259,,,,,
"test(int, int, int)",1947881536,142451469,1,1,1,1024,1,1,37,304,6352,142.451469,168,274,,,,,
"test(int, int, int)",2103547363,146953488,1,1,1,1024,1,1,37,304,6352,146.953488,169,257,,,,,
